,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",2660,2366,294
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",4712,4185,527
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",44254,36864,7390
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",4938,4123,815
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",521,452,69
"West Winfield village, New York: Summary level: 160, state:36> place:81292",753,618,135
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",5313,4993,320
"Whitehall village, New York: Summary level: 160, state:36> place:81622",2842,2311,531
"White Plains city, New York: Summary level: 160, state:36> place:81677",55729,45342,10387
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",3755,2764,991
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",932,793,139
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",2299,1902,397
"Williamsville village, New York: Summary level: 160, state:36> place:82084",5042,3618,1424
"Williston Park village, New York: Summary level: 160, state:36> place:82117",7268,6466,802
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",641,510,131
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",885,710,175
"Wilson village, New York: Summary level: 160, state:36> place:82359",1203,851,352
"Windham CDP, New York: Summary level: 160, state:36> place:82469",470,388,82
"Windsor village, New York: Summary level: 160, state:36> place:82524",889,667,222
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",267,154,113
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",450,417,33
"Wolcott village, New York: Summary level: 160, state:36> place:82678",1390,1003,387
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",7816,6955,861
"Woodbury village, New York: Summary level: 160, state:36> place:82750",10638,9716,922
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",17041,16117,924
"Woodridge village, New York: Summary level: 160, state:36> place:82953",897,711,186
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",704,649,55
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",2212,1626,586
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",52,36,16
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",1434,1300,134
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",980,726,254
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",10567,9876,691
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",3053,2572,481
"Wyoming village, New York: Summary level: 160, state:36> place:83371",373,319,54
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",4820,4261,559
"Yonkers city, New York: Summary level: 160, state:36> place:84000",194945,165901,29044
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",726,635,91
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",1009,740,269
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",2134,2069,65
"Yorkville village, New York: Summary level: 160, state:36> place:84099",2659,2145,514
"Youngstown village, New York: Summary level: 160, state:36> place:84143",2061,1747,314
"Zena CDP, New York: Summary level: 160, state:36> place:84187",1188,1068,120
"Ovid village, New York: Summary level: 160, state:36> place:55816",548,409,139
"Owego village, New York: Summary level: 160, state:36> place:55882",3759,2747,1012
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",92,72,20
"Oxford village, New York: Summary level: 160, state:36> place:55948",1520,1302,218
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",6051,4803,1248
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",2285,2161,124
"Painted Post village, New York: Summary level: 160, state:36> place:56088",1726,1343,383
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",706,553,153
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",855,662,193
"Palmyra village, New York: Summary level: 160, state:36> place:56187",3480,2847,633
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",236,236,0
"Panama village, New York: Summary level: 160, state:36> place:56231",468,402,66
"Parc CDP, New York: Summary level: 160, state:36> place:56291",4,0,4
"Parish village, New York: Summary level: 160, state:36> place:56341",536,460,76
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",884,692,192
"Patchogue village, New York: Summary level: 160, state:36> place:56660",11831,9641,2190
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",437,354,83
"Pawling village, New York: Summary level: 160, state:36> place:56814",2230,1789,441
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",1534,1312,222
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",15771,13981,1790
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",358,279,79
"Peekskill city, New York: Summary level: 160, state:36> place:56979",23510,18650,4860
"Pelham village, New York: Summary level: 160, state:36> place:57001",6908,6307,601
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",5501,5215,286
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",4845,3969,876
"Perry village, New York: Summary level: 160, state:36> place:57243",3238,2693,545
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",382,331,51
"Peru CDP, New York: Summary level: 160, state:36> place:57364",1274,1177,97
"Phelps village, New York: Summary level: 160, state:36> place:57518",2099,1521,578
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",1220,1069,151
"Philmont village, New York: Summary level: 160, state:36> place:57639",1395,1050,345
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",262,169,93
"Phoenix village, New York: Summary level: 160, state:36> place:57661",2536,2180,356
"Piermont village, New York: Summary level: 160, state:36> place:57749",2526,1935,591
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",165,137,28
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",161,117,44
"Pike CDP, New York: Summary level: 160, state:36> place:57815",336,300,36
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",1812,1366,446
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",212,142,70
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",1383,1211,172
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",846,682,164
"Pittsford village, New York: Summary level: 160, state:36> place:58354",1431,1138,293
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",9102,8369,733
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",25831,23962,1869
"Plandome village, New York: Summary level: 160, state:36> place:58475",1440,1377,63
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",995,926,69
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",877,831,46
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",1559,1331,228
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",16455,10488,5967
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",1524,1248,276
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",1032,885,147
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",6735,5791,944
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",67,52,15
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",1122,996,126
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",1250,1147,103
"Poland village, New York: Summary level: 160, state:36> place:58937",443,424,19
"Pomona village, New York: Summary level: 160, state:36> place:58992",3086,2776,310
"Poquott village, New York: Summary level: 160, state:36> place:59157",937,789,148
"Port Byron village, New York: Summary level: 160, state:36> place:59212",1296,1115,181
"Port Chester village, New York: Summary level: 160, state:36> place:59223",28834,24612,4222
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",1432,1124,308
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",3464,2694,770
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",444,414,30
"Port Henry village, New York: Summary level: 160, state:36> place:59333",1174,960,214
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",7402,5746,1656
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",8551,7408,1143
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",8690,6938,1752
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",682,583,99
"Portville village, New York: Summary level: 160, state:36> place:59498",1080,905,175
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",15925,14172,1753
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",3156,2574,582
"Potsdam village, New York: Summary level: 160, state:36> place:59564",4375,2277,2098
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",327,327,0
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",30084,22811,7273
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",755,638,117
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",256,205,51
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",321,244,77
"Prospect village, New York: Summary level: 160, state:36> place:59883",218,180,38
"Pulaski village, New York: Summary level: 160, state:36> place:59960",2231,1730,501
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",678,640,38
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",4010,3438,572
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",600,504,96
"Quogue village, New York: Summary level: 160, state:36> place:60422",772,681,91
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",1411,1230,181
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",1340,1164,176
"Ravena village, New York: Summary level: 160, state:36> place:60675",3245,2620,625
"Randolph CDP, New York: Summary level: 160, state:36> place:60756",1216,996,220
"Red Creek village, New York: Summary level: 160, state:36> place:60829",646,591,55
"Redford CDP, New York: Summary level: 160, state:36> place:60884",461,461,0
"Red Hook village, New York: Summary level: 160, state:36> place:60895",1796,1263,533
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",3650,3228,422
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",525,511,14
"Remsen village, New York: Summary level: 160, state:36> place:61115",602,479,123
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",2252,2031,221
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",9427,6674,2753
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",380,317,63
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",143,117,26
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",2477,1978,499
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",552,338,214
"Richburg village, New York: Summary level: 160, state:36> place:61434",675,519,156
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",1099,763,336
"Richmondville village, New York: Summary level: 160, state:36> place:61588",917,769,148
"Richville village, New York: Summary level: 160, state:36> place:61621",405,362,43
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",12729,10524,2205
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",885,688,197
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",796,674,122
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",12961,10751,2210
"Riverside village, New York: Summary level: 160, state:36> place:62061",535,444,91
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",1990,1318,672
"Rochester city, New York: Summary level: 160, state:36> place:63000",200912,145686,55226
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",1642,1435,207
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",23785,20460,3325
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",14023,12751,1272
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",185,181,4
"Rome city, New York: Summary level: 160, state:36> place:63418",30509,23644,6865
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",666,641,25
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",19584,17622,1962
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",16083,14696,1387
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",706,539,167
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",1721,1189,532
"Roslyn village, New York: Summary level: 160, state:36> place:63770",2513,1895,618
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",1236,1185,51
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",1072,1012,60
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",6887,6485,402
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",20685,17328,3357
"Round Lake village, New York: Summary level: 160, state:36> place:63957",485,371,114
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",2292,1854,438
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",308,233,75
"Rushville village, New York: Summary level: 160, state:36> place:64199",664,588,76
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",821,735,86
"Rye city, New York: Summary level: 160, state:36> place:64309",15714,14050,1664
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",9269,8422,847
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",1436,971,465
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",1059,1000,59
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",416,396,20
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",256,206,50
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",1938,1541,397
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",451,377,74
"St. James CDP, New York: Summary level: 160, state:36> place:64584",12496,11230,1266
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",1389,1154,235
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",389,291,98
"Salamanca city, New York: Summary level: 160, state:36> place:64749",5613,4272,1341
"Salem village, New York: Summary level: 160, state:36> place:64771",837,649,188
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",12283,11398,885
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",267,253,14
"Saltaire village, New York: Summary level: 160, state:36> place:64881",62,47,15
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",431,424,7
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",1105,835,270
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",1006,724,282
"Sands Point village, New York: Summary level: 160, state:36> place:65035",2662,2539,123
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",813,722,91
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",5885,4303,1582
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",24538,17103,7435
"Saugerties village, New York: Summary level: 160, state:36> place:65288",3880,2689,1191
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",2217,1928,289
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",470,410,60
"Savona village, New York: Summary level: 160, state:36> place:65354",589,444,145
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",15671,13659,2012
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",17312,16631,681
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",540,452,88
"Schenectady city, New York: Summary level: 160, state:36> place:65508",62411,47582,14829
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",373,295,78
"Schoharie village, New York: Summary level: 160, state:36> place:65585",839,582,257
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",740,539,201
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",1637,1251,386
"Scio CDP, New York: Summary level: 160, state:36> place:65761",517,463,54
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",9842,8927,915
"Scotia village, New York: Summary level: 160, state:36> place:65893",7687,6534,1153
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",121,98,23
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",523,394,129
"Scottsville village, New York: Summary level: 160, state:36> place:65959",2361,2045,316
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",4931,4059,872
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",15477,14221,1256
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",4352,4150,202
"Selden CDP, New York: Summary level: 160, state:36> place:66212",20434,18493,1941
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",6601,5165,1436
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",1973,1513,460
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",15032,13735,1297
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",432,312,120
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",1155,1083,72
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",1296,1154,142
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",1761,1580,181
"Sherburne village, New York: Summary level: 160, state:36> place:66883",1276,1026,250
"Sherman village, New York: Summary level: 160, state:36> place:66949",648,550,98
"Sherrill city, New York: Summary level: 160, state:36> place:66993",3069,2490,579
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",2097,1787,310
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",24803,22991,1812
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",994,791,203
"Shoreham village, New York: Summary level: 160, state:36> place:67191",519,494,25
"Shortsville village, New York: Summary level: 160, state:36> place:67257",1338,1162,176
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",2184,1819,365
"Sidney village, New York: Summary level: 160, state:36> place:67334",3861,3012,849
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",2603,2093,510
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",760,563,197
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",528,457,71
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",2482,1935,547
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",9858,8700,1158
"Sloan village, New York: Summary level: 160, state:36> place:67686",3631,2728,903
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",3060,2747,313
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",312,226,86
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",25476,23193,2283
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",497,427,70
"Smyrna village, New York: Summary level: 160, state:36> place:68099",194,162,32
"Sodus village, New York: Summary level: 160, state:36> place:68209",2318,1925,393
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",994,801,193
"Solvay village, New York: Summary level: 160, state:36> place:68286",6526,4939,1587
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",7663,6876,787
"Southampton village, New York: Summary level: 160, state:36> place:68462",2947,2403,544
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",3227,2819,408
"South Corning village, New York: Summary level: 160, state:36> place:68847",1091,898,193
"South Dayton village, New York: Summary level: 160, state:36> place:68891",762,641,121
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",2763,2313,450
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",14650,13804,846
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",2060,1927,133
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",3543,2544,999
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",3111,2842,269
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",2241,1684,557
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",9117,8046,1071
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",179,145,34
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",8240,6371,1869
"South Nyack village, New York: Summary level: 160, state:36> place:69441",2690,1991,699
"Southold CDP, New York: Summary level: 160, state:36> place:69452",6223,5562,661
"Southport CDP, New York: Summary level: 160, state:36> place:69606",7268,5851,1417
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",6416,6104,312
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",3893,3637,256
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",1184,1022,162
"Speculator village, New York: Summary level: 160, state:36> place:70123",315,268,47
"Spencer village, New York: Summary level: 160, state:36> place:70167",1010,888,122
"Spencerport village, New York: Summary level: 160, state:36> place:70189",3547,3012,535
"Springs CDP, New York: Summary level: 160, state:36> place:70387",6226,5315,911
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",31617,28404,3213
"Springville village, New York: Summary level: 160, state:36> place:70442",4093,3372,721
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",392,275,117
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",366,342,24
"Stamford village, New York: Summary level: 160, state:36> place:70618",1253,876,377
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",955,683,272
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",714,606,108
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",2288,2025,263
"Stillwater village, New York: Summary level: 160, state:36> place:71322",1962,1752,210
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",1395,1304,91
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",13296,11670,1626
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",115,98,17
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",12432,11137,1295
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",1500,1233,267
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",579,520,59
"Suffern village, New York: Summary level: 160, state:36> place:71894",10618,8845,1773
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",532,464,68
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",11,0,11
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",883,644,239
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",18761,17708,1053
"Syracuse city, New York: Summary level: 160, state:36> place:73000",130877,94081,36796
"Tannersville village, New York: Summary level: 160, state:36> place:73143",522,424,98
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",6934,6566,368
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",10803,8655,2148
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",11811,10841,970
"Thendara CDP, New York: Summary level: 160, state:36> place:73459",169,169,0
