,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",291844,218999,72845
"Bronx County, New York: Summary level: 050, state:36> county:005",1413891,1215270,198621
"Broome County, New York: Summary level: 050, state:36> county:007",184925,144153,40772
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",75007,60247,14760
"Cayuga County, New York: Summary level: 050, state:36> county:011",73475,57228,16247
"Chautauqua County, New York: Summary level: 050, state:36> county:013",123663,96792,26871
"Chemung County, New York: Summary level: 050, state:36> county:015",81130,65441,15689
"Clinton County, New York: Summary level: 050, state:36> county:019",73093,59192,13901
"Dutchess County, New York: Summary level: 050, state:36> county:027",274962,226838,48124
"Erie County, New York: Summary level: 050, state:36> county:029",893460,697667,195793
"Jefferson County, New York: Summary level: 050, state:36> county:045",106762,90299,16463
"Kings County, New York: Summary level: 050, state:36> county:047",2588753,2084450,504303
"Livingston County, New York: Summary level: 050, state:36> county:051",57714,44458,13256
"Madison County, New York: Summary level: 050, state:36> county:053",66387,54421,11966
"Monroe County, New York: Summary level: 050, state:36> county:055",720356,568728,151628
"Nassau County, New York: Summary level: 050, state:36> county:059",1341667,1216970,124697
"New York County, New York: Summary level: 050, state:36> county:061",1583632,998461,585171
"Niagara County, New York: Summary level: 050, state:36> county:063",207762,169163,38599
"Oneida County, New York: Summary level: 050, state:36> county:065",218928,178761,40167
"Onondaga County, New York: Summary level: 050, state:36> county:067",446676,352005,94671
"Ontario County, New York: Summary level: 050, state:36> county:069",106086,87738,18348
"Orange County, New York: Summary level: 050, state:36> county:071",368969,321828,47141
"Oswego County, New York: Summary level: 050, state:36> county:075",114117,92305,21812
"Putnam County, New York: Summary level: 050, state:36> county:079",96237,85784,10453
"Queens County, New York: Summary level: 050, state:36> county:081",2304957,1956726,348231
"Rensselaer County, New York: Summary level: 050, state:36> county:083",154208,120633,33575
"Richmond County, New York: Summary level: 050, state:36> county:085",469456,420769,48687
"Rockland County, New York: Summary level: 050, state:36> county:087",320145,287860,32285
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",97686,79731,17955
"Saratoga County, New York: Summary level: 050, state:36> county:091",222997,183267,39730
"Schenectady County, New York: Summary level: 050, state:36> county:093",149958,124317,25641
"Steuben County, New York: Summary level: 050, state:36> county:101",95156,78980,16176
"Suffolk County, New York: Summary level: 050, state:36> county:103",1463742,1305505,158237
"Sullivan County, New York: Summary level: 050, state:36> county:105",70758,60622,10136
"Tompkins County, New York: Summary level: 050, state:36> county:109",90832,60480,30352
"Ulster County, New York: Summary level: 050, state:36> county:111",167452,133241,34211
"Warren County, New York: Summary level: 050, state:36> county:113",63768,49273,14495
"Wayne County, New York: Summary level: 050, state:36> county:117",89088,74916,14172
"Westchester County, New York: Summary level: 050, state:36> county:119",948448,814502,133946
