,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Malverne village, New York: Summary level: 160, state:36> place:44787",8530,7707,823
"Plandome village, New York: Summary level: 160, state:36> place:58475",1251,1211,40
"New Square village, New York: Summary level: 160, state:36> place:50705",8128,8098,30
"South Nyack village, New York: Summary level: 160, state:36> place:69441",2831,2166,665
"Viola CDP, New York: Summary level: 160, state:36> place:77574",6872,6371,501
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3699,2968,731
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",361,307,54
"Newark village, New York: Summary level: 160, state:36> place:49891",8469,6160,2309
"Elmira city, New York: Summary level: 160, state:36> place:24229",24214,18880,5334
"Van Etten village, New York: Summary level: 160, state:36> place:76881",678,621,57
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",4798,3858,940
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2744,2045,699
"Corfu village, New York: Summary level: 160, state:36> place:18201",707,554,153
"Sodus village, New York: Summary level: 160, state:36> place:68209",1657,1343,314
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",8939,6953,1986
"Waddington village, New York: Summary level: 160, state:36> place:77728",938,748,190
"Clyde village, New York: Summary level: 160, state:36> place:16573",2097,1857,240
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5191,4435,756
"Geneseo village, New York: Summary level: 160, state:36> place:28618",4749,2350,2399
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",11694,10691,1003
"Addison village, New York: Summary level: 160, state:36> place:00276",1753,1489,264
"Hornell city, New York: Summary level: 160, state:36> place:35672",8086,6576,1510
"Riverside village, New York: Summary level: 160, state:36> place:62061",514,389,125
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1862,1344,518
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",8099,7108,991
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",3449,3046,403
"Port Byron village, New York: Summary level: 160, state:36> place:59212",989,741,248
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",426,327,99
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1380,1080,300
"Redford CDP, New York: Summary level: 160, state:36> place:60884",361,331,30
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",301,172,129
"Brocton village, New York: Summary level: 160, state:36> place:08488",1319,935,384
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",1657,1418,239
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",787,665,122
"Freeville village, New York: Summary level: 160, state:36> place:27529",394,296,98
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",465,264,201
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",1805,1403,402
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",4515,3158,1357
"Lewiston village, New York: Summary level: 160, state:36> place:42147",2541,1727,814
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",7254,5579,1675
"Youngstown village, New York: Summary level: 160, state:36> place:84143",2047,1795,252
"Almond village, New York: Summary level: 160, state:36> place:01440",494,442,52
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2256,1949,307
"Corning city, New York: Summary level: 160, state:36> place:18256",10630,7884,2746
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",10065,8777,1288
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",2055,2005,50
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",254,226,28
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",7405,5756,1649
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4552,3449,1103
"Valatie village, New York: Summary level: 160, state:36> place:76617",1473,1232,241
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",525,447,78
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",1366,1091,275
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",2134,1679,455
"Fairport village, New York: Summary level: 160, state:36> place:25076",5325,4100,1225
"Hilton village, New York: Summary level: 160, state:36> place:34847",5858,5064,794
"Pittsford village, New York: Summary level: 160, state:36> place:58354",1655,1294,361
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",9176,8516,660
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",24175,20582,3593
"Remsen village, New York: Summary level: 160, state:36> place:61115",418,364,54
"Sherrill city, New York: Summary level: 160, state:36> place:66993",3018,2431,587
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",832,699,133
"Yorkville village, New York: Summary level: 160, state:36> place:84099",2595,1960,635
"Camillus village, New York: Summary level: 160, state:36> place:11902",1185,820,365
"Fabius village, New York: Summary level: 160, state:36> place:24867",336,287,49
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",652,506,146
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",4832,4300,532
"Portville village, New York: Summary level: 160, state:36> place:59498",965,789,176
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",808,485,323
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3841,3329,512
"Glen Park village, New York: Summary level: 160, state:36> place:29322",568,497,71
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",1100,952,148
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",355,285,70
"Oneonta city, New York: Summary level: 160, state:36> place:54881",9268,5642,3626
"West End CDP, New York: Summary level: 160, state:36> place:79796",1853,1239,614
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2120,1981,139
"Galway village, New York: Summary level: 160, state:36> place:28101",221,208,13
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",737,622,115
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",2373,2060,313
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4522,3732,790
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",4327,3452,875
"Patchogue village, New York: Summary level: 160, state:36> place:56660",12324,9561,2763
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",747,567,180
"Southold CDP, New York: Summary level: 160, state:36> place:69452",6080,4931,1149
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",2170,2077,93
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",15370,13883,1487
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",16088,14972,1116
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",914,843,71
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",27488,24222,3266
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",4202,3735,467
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",20081,18467,1614
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",875,599,276
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",481,445,36
"Fredonia village, New York: Summary level: 160, state:36> place:27419",8313,6023,2290
"Constableville village, New York: Summary level: 160, state:36> place:17882",287,257,30
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",765,548,217
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",543,451,92
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",1507,1153,354
"Richmondville village, New York: Summary level: 160, state:36> place:61588",859,690,169
"Ithaca city, New York: Summary level: 160, state:36> place:38077",22752,8667,14085
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",1727,1373,354
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",561,439,122
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",1654,1459,195
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",480,409,71
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",972,773,199
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4853,4400,453
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",547,501,46
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",2510,2067,443
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",861,750,111
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",817,694,123
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",149,121,28
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",267,204,63
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",105,94,11
"Hall CDP, New York: Summary level: 160, state:36> place:31533",128,81,47
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",5424,4636,788
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",882,699,183
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",641,602,39
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",423,331,92
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",151,114,37
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",854,716,138
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",162,99,63
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",109,89,20
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",1943,1548,395
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",1895,1769,126
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",363,263,100
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",186,157,29
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",189,177,12
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",994,964,30
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",732,613,119
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",85,79,6
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",320,276,44
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",347,301,46
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",107,92,15
"Machias CDP, New York: Summary level: 160, state:36> place:44226",432,342,90
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",632,522,110
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",291,246,45
"Marion CDP, New York: Summary level: 160, state:36> place:45634",1366,1006,360
"Sherburne village, New York: Summary level: 160, state:36> place:66883",1389,1016,373
"Farnham village, New York: Summary level: 160, state:36> place:25428",456,376,80
"Sherman village, New York: Summary level: 160, state:36> place:66949",752,645,107
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",523,381,142
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",1705,1500,205
"Island Park village, New York: Summary level: 160, state:36> place:37847",4620,3838,782
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",758,683,75
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1245,1064,181
"Angelica village, New York: Summary level: 160, state:36> place:02176",759,623,136
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",35745,32583,3162
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",21825,20195,1630
"Celoron village, New York: Summary level: 160, state:36> place:13288",925,642,283
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",319,269,50
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",442,384,58
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",813,706,107
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",1776,1660,116
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",1155,968,187
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",3187,2763,424
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1914,1537,377
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",514,397,117
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",9318,6924,2394
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",425,300,125
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",39,16,23
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",391,268,123
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",1815,1278,537
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",109,106,3
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",372,321,51
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",674,546,128
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",614,537,77
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",553,467,86
"Milford village, New York: Summary level: 160, state:36> place:47229",380,294,86
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",1049,846,203
"North Hornell village, New York: Summary level: 160, state:36> place:53055",660,508,152
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6091,5318,773
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",18844,16049,2795
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",67119,55620,11499
"Peekskill city, New York: Summary level: 160, state:36> place:56979",23842,19229,4613
"Rye city, New York: Summary level: 160, state:36> place:64309",15715,14050,1665
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",704,652,52
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",11194,8952,2242
"Johnstown city, New York: Summary level: 160, state:36> place:38781",8135,6514,1621
"Central Square village, New York: Summary level: 160, state:36> place:13585",1846,1346,500
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",338,227,111
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",546,447,99
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",5194,4736,458
"Otisville village, New York: Summary level: 160, state:36> place:55673",1255,1160,95
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",8531,6146,2385
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",14317,12539,1778
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",1366,1227,139
"Islip CDP, New York: Summary level: 160, state:36> place:37869",17861,15722,2139
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",5529,5244,285
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",3250,2660,590
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11497,10463,1034
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",3929,3480,449
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",7725,6647,1078
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",1960,1689,271
"St. James CDP, New York: Summary level: 160, state:36> place:64584",12684,11021,1663
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",1695,1492,203
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",28402,25626,2776
"Shoreham village, New York: Summary level: 160, state:36> place:67191",437,398,39
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",914,784,130
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",844,611,233
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",11927,9846,2081
"Odessa village, New York: Summary level: 160, state:36> place:54452",491,393,98
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",1979,1494,485
"Interlaken village, New York: Summary level: 160, state:36> place:37528",559,455,104
"Belmont village, New York: Summary level: 160, state:36> place:05815",793,604,189
"Holland CDP, New York: Summary level: 160, state:36> place:35111",1183,887,296
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",17591,13842,3749
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3149,2600,549
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",44831,35734,9097
"Burdett village, New York: Summary level: 160, state:36> place:11132",437,349,88
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2035,1378,657
"Groton village, New York: Summary level: 160, state:36> place:30961",1936,1484,452
"Lansing village, New York: Summary level: 160, state:36> place:41223",3451,2345,1106
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",5310,4801,509
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4525,4108,417
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",7998,7076,922
"Pelham village, New York: Summary level: 160, state:36> place:57001",6935,6404,531
"Arcade village, New York: Summary level: 160, state:36> place:02407",2175,1750,425
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",1198,1069,129
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",8415,7194,1221
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",2179,2018,161
"Dundee village, New York: Summary level: 160, state:36> place:21050",1624,1244,380
"Richburg village, New York: Summary level: 160, state:36> place:61434",450,408,42
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",516,389,127
"Lakewood village, New York: Summary level: 160, state:36> place:41069",2819,2023,796
"Westfield village, New York: Summary level: 160, state:36> place:79939",2864,2163,701
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",15,15,0
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",3500,3251,249
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",715,582,133
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",306,231,75
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",2320,2129,191
"Meridian village, New York: Summary level: 160, state:36> place:46646",327,277,50
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",2799,2430,369
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",6941,5223,1718
"Angola village, New York: Summary level: 160, state:36> place:02198",2174,1841,333
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",3125,3000,125
"Gowanda village, New York: Summary level: 160, state:36> place:29630",2645,2069,576
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2835,2326,509
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",11829,9138,2691
"Panama village, New York: Summary level: 160, state:36> place:56231",412,317,95
"Croghan village, New York: Summary level: 160, state:36> place:19070",621,513,108
"Lowville village, New York: Summary level: 160, state:36> place:43720",3184,2382,802
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1608,1120,488
"Lodi village, New York: Summary level: 160, state:36> place:43214",351,295,56
"Waterloo village, New York: Summary level: 160, state:36> place:78553",4655,3755,900
"Alfred village, New York: Summary level: 160, state:36> place:01198",762,370,392
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",524,459,65
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",850,746,104
"Hamilton village, New York: Summary level: 160, state:36> place:31709",1783,956,827
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",5202,4713,489
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",15337,14497,840
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",175,167,8
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9549,8624,925
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",3597,3194,403
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",26177,23243,2934
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",2191,1981,210
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",648,502,146
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",1008,891,117
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",1188,1125,63
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",6577,6249,328
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",577,567,10
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",19372,18336,1036
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",18033,16794,1239
"Boonville village, New York: Summary level: 160, state:36> place:07355",1931,1560,371
"Camden village, New York: Summary level: 160, state:36> place:11847",2528,1988,540
"Utica city, New York: Summary level: 160, state:36> place:76540",57791,45637,12154
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",2963,2196,767
"Elbridge village, New York: Summary level: 160, state:36> place:23789",1004,838,166
"Akron village, New York: Summary level: 160, state:36> place:00441",2846,2167,679
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1367,935,432
"Depew village, New York: Summary level: 160, state:36> place:20313",15097,11948,3149
"East Aurora village, New York: Summary level: 160, state:36> place:21589",5780,4661,1119
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3180,2670,510
"Naples village, New York: Summary level: 160, state:36> place:49429",1024,812,212
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1145,853,292
"Woodridge village, New York: Summary level: 160, state:36> place:82953",788,633,155
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",4122,2881,1241
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",724,575,149
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1474,1374,100
"Batavia city, New York: Summary level: 160, state:36> place:04715",14134,10834,3300
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",7502,6678,824
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4835,4367,468
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",3230,2024,1206
"Esperance village, New York: Summary level: 160, state:36> place:24713",394,316,78
"Schoharie village, New York: Summary level: 160, state:36> place:65585",796,602,194
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",1442,1141,301
"New Berlin village, New York: Summary level: 160, state:36> place:49946",857,650,207
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",1169,1007,162
"Greene village, New York: Summary level: 160, state:36> place:30411",1704,1298,406
"Munnsville village, New York: Summary level: 160, state:36> place:49220",497,429,68
"Wampsville village, New York: Summary level: 160, state:36> place:78113",539,452,87
"Brookville village, New York: Summary level: 160, state:36> place:10132",2458,2341,117
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2878,2554,324
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",32184,29932,2252
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",475,447,28
"Hempstead village, New York: Summary level: 160, state:36> place:33139",54534,48723,5811
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",4074,3717,357
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",6462,5630,832
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",6266,6041,225
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",3594,3401,193
