,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",120485,68732,51753
"Bronx County, New York: Summary level: 050, state:36> county:005",471912,88493,383419
"Broome County, New York: Summary level: 050, state:36> county:007",80018,53648,26370
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32183,23706,8477
"Cayuga County, New York: Summary level: 050, state:36> county:011",30975,22879,8096
"Chautauqua County, New York: Summary level: 050, state:36> county:013",55362,39514,15848
"Chemung County, New York: Summary level: 050, state:36> county:015",35534,23848,11686
"Clinton County, New York: Summary level: 050, state:36> county:019",31659,20501,11158
"Dutchess County, New York: Summary level: 050, state:36> county:027",106934,75439,31495
"Erie County, New York: Summary level: 050, state:36> county:029",376954,244018,132936
"Jefferson County, New York: Summary level: 050, state:36> county:045",45163,25399,19764
"Kings County, New York: Summary level: 050, state:36> county:047",905317,273500,631817
"Livingston County, New York: Summary level: 050, state:36> county:051",23854,17241,6613
"Madison County, New York: Summary level: 050, state:36> county:053",26243,20272,5971
"Monroe County, New York: Summary level: 050, state:36> county:055",294661,193344,101317
"Nassau County, New York: Summary level: 050, state:36> county:059",442729,355151,87578
"New York County, New York: Summary level: 050, state:36> county:061",726090,161647,564443
"Niagara County, New York: Summary level: 050, state:36> county:063",87627,60364,27263
"Oneida County, New York: Summary level: 050, state:36> county:065",89382,61805,27577
"Onondaga County, New York: Summary level: 050, state:36> county:067",184589,118358,66231
"Ontario County, New York: Summary level: 050, state:36> county:069",43670,33275,10395
"Orange County, New York: Summary level: 050, state:36> county:071",124627,86212,38415
"Oswego County, New York: Summary level: 050, state:36> county:075",44780,33342,11438
"Putnam County, New York: Summary level: 050, state:36> county:079",34727,29424,5303
"Queens County, New York: Summary level: 050, state:36> county:081",772332,338609,433723
"Rensselaer County, New York: Summary level: 050, state:36> county:083",65219,42021,23198
"Richmond County, New York: Summary level: 050, state:36> county:085",163816,114045,49771
"Rockland County, New York: Summary level: 050, state:36> county:087",98207,68272,29935
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",43123,30370,12753
"Saratoga County, New York: Summary level: 050, state:36> county:091",90445,64226,26219
"Schenectady County, New York: Summary level: 050, state:36> county:093",58773,40491,18282
"Steuben County, New York: Summary level: 050, state:36> county:101",41052,29582,11470
"Suffolk County, New York: Summary level: 050, state:36> county:103",496266,393733,102533
"Sullivan County, New York: Summary level: 050, state:36> county:105",31599,20016,11583
"Tompkins County, New York: Summary level: 050, state:36> county:109",37812,21183,16629
"Ulster County, New York: Summary level: 050, state:36> county:111",68581,47567,21014
"Warren County, New York: Summary level: 050, state:36> county:113",28809,19993,8816
"Wayne County, New York: Summary level: 050, state:36> county:117",36603,27936,8667
"Westchester County, New York: Summary level: 050, state:36> county:119",344475,217638,126837
