,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",123251,70119,53132
"Bronx County, New York: Summary level: 050, state:36> county:005",481143,89153,391990
"Broome County, New York: Summary level: 050, state:36> county:007",76714,52123,24591
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32271,22613,9658
"Cayuga County, New York: Summary level: 050, state:36> county:011",30784,22224,8560
"Chautauqua County, New York: Summary level: 050, state:36> county:013",54551,37303,17248
"Chemung County, New York: Summary level: 050, state:36> county:015",35838,24160,11678
"Clinton County, New York: Summary level: 050, state:36> county:019",31862,21673,10189
"Dutchess County, New York: Summary level: 050, state:36> county:027",107752,75237,32515
"Erie County, New York: Summary level: 050, state:36> county:029",381927,247784,134143
"Jefferson County, New York: Summary level: 050, state:36> county:045",42466,23054,19412
"Kings County, New York: Summary level: 050, state:36> county:047",925489,274241,651248
"Livingston County, New York: Summary level: 050, state:36> county:051",23853,18126,5727
"Madison County, New York: Summary level: 050, state:36> county:053",26518,19492,7026
"Monroe County, New York: Summary level: 050, state:36> county:055",298314,189160,109154
"Nassau County, New York: Summary level: 050, state:36> county:059",438588,344967,93621
"New York County, New York: Summary level: 050, state:36> county:061",726357,167447,558910
"Niagara County, New York: Summary level: 050, state:36> county:063",87970,62151,25819
"Oneida County, New York: Summary level: 050, state:36> county:065",89648,57833,31815
"Onondaga County, New York: Summary level: 050, state:36> county:067",184316,119688,64628
"Ontario County, New York: Summary level: 050, state:36> county:069",43028,31107,11921
"Orange County, New York: Summary level: 050, state:36> county:071",123977,84560,39417
"Oswego County, New York: Summary level: 050, state:36> county:075",45327,32997,12330
"Putnam County, New York: Summary level: 050, state:36> county:079",32251,26615,5636
"Queens County, New York: Summary level: 050, state:36> county:081",784243,344236,440007
"Rensselaer County, New York: Summary level: 050, state:36> county:083",63981,41378,22603
"Richmond County, New York: Summary level: 050, state:36> county:085",167629,113017,54612
"Rockland County, New York: Summary level: 050, state:36> county:087",98294,68279,30015
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41299,29530,11769
"Saratoga County, New York: Summary level: 050, state:36> county:091",90397,64388,26009
"Schenectady County, New York: Summary level: 050, state:36> county:093",57526,38980,18546
"Steuben County, New York: Summary level: 050, state:36> county:101",41241,29519,11722
"Suffolk County, New York: Summary level: 050, state:36> county:103",496958,397721,99237
"Sullivan County, New York: Summary level: 050, state:36> county:105",27508,17306,10202
"Tompkins County, New York: Summary level: 050, state:36> county:109",37524,21313,16211
"Ulster County, New York: Summary level: 050, state:36> county:111",68650,48419,20231
"Warren County, New York: Summary level: 050, state:36> county:113",27228,19389,7839
"Wayne County, New York: Summary level: 050, state:36> county:117",35349,29521,5828
"Westchester County, New York: Summary level: 050, state:36> county:119",341755,208920,132835
