,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",125329,68218,57111
"Bronx County, New York: Summary level: 050, state:36> county:005",498539,96282,402257
"Broome County, New York: Summary level: 050, state:36> county:007",76957,49381,27576
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31409,22810,8599
"Cayuga County, New York: Summary level: 050, state:36> county:011",30966,21833,9133
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51705,35199,16506
"Chemung County, New York: Summary level: 050, state:36> county:015",34418,22271,12147
"Clinton County, New York: Summary level: 050, state:36> county:019",30624,21466,9158
"Dutchess County, New York: Summary level: 050, state:36> county:027",108200,73235,34965
"Erie County, New York: Summary level: 050, state:36> county:029",380473,246666,133807
"Jefferson County, New York: Summary level: 050, state:36> county:045",41415,24188,17227
"Kings County, New York: Summary level: 050, state:36> county:047",941871,277746,664125
"Livingston County, New York: Summary level: 050, state:36> county:051",23904,17829,6075
"Madison County, New York: Summary level: 050, state:36> county:053",25612,20207,5405
"Monroe County, New York: Summary level: 050, state:36> county:055",299224,188269,110955
"Nassau County, New York: Summary level: 050, state:36> county:059",440785,354646,86139
"New York County, New York: Summary level: 050, state:36> county:061",748293,172324,575969
"Niagara County, New York: Summary level: 050, state:36> county:063",86786,61439,25347
"Oneida County, New York: Summary level: 050, state:36> county:065",87929,61217,26712
"Onondaga County, New York: Summary level: 050, state:36> county:067",182984,118167,64817
"Ontario County, New York: Summary level: 050, state:36> county:069",45187,32518,12669
"Orange County, New York: Summary level: 050, state:36> county:071",124365,78678,45687
"Oswego County, New York: Summary level: 050, state:36> county:075",44633,31518,13115
"Putnam County, New York: Summary level: 050, state:36> county:079",34762,27300,7462
"Queens County, New York: Summary level: 050, state:36> county:081",761819,335984,425835
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62816,39666,23150
"Richmond County, New York: Summary level: 050, state:36> county:085",164289,115862,48427
"Rockland County, New York: Summary level: 050, state:36> county:087",99257,68242,31015
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40479,30002,10477
"Saratoga County, New York: Summary level: 050, state:36> county:091",93703,67691,26012
"Schenectady County, New York: Summary level: 050, state:36> county:093",48720,31705,17015
"Steuben County, New York: Summary level: 050, state:36> county:101",38458,28003,10455
"Suffolk County, New York: Summary level: 050, state:36> county:103",474311,374680,99631
"Sullivan County, New York: Summary level: 050, state:36> county:105",25031,17852,7179
"Tompkins County, New York: Summary level: 050, state:36> county:109",37683,20731,16952
"Ulster County, New York: Summary level: 050, state:36> county:111",68298,46444,21854
"Warren County, New York: Summary level: 050, state:36> county:113",28841,20086,8755
"Wayne County, New York: Summary level: 050, state:36> county:117",37496,28531,8965
"Westchester County, New York: Summary level: 050, state:36> county:119",342216,207743,134473
