,Total,Owner occupied,Renter occupied
"Rensselaer County, New York: Summary level: 050, state:36> county:083",64614,40857,23757
"Chautauqua County, New York: Summary level: 050, state:36> county:013",53429,37160,16269
"Clinton County, New York: Summary level: 050, state:36> county:019",31392,21472,9920
"New York County, New York: Summary level: 050, state:36> county:061",752258,180208,572050
"Saratoga County, New York: Summary level: 050, state:36> county:091",94156,67254,26902
"Tompkins County, New York: Summary level: 050, state:36> county:109",40250,22476,17774
"Oneida County, New York: Summary level: 050, state:36> county:065",88871,58942,29929
"Oswego County, New York: Summary level: 050, state:36> county:075",46270,34397,11873
"Nassau County, New York: Summary level: 050, state:36> county:059",447123,356619,90504
"Orange County, New York: Summary level: 050, state:36> county:071",128259,86175,42084
"Rockland County, New York: Summary level: 050, state:36> county:087",99502,68477,31025
"Ontario County, New York: Summary level: 050, state:36> county:069",44079,32069,12010
"Chemung County, New York: Summary level: 050, state:36> county:015",34325,22827,11498
"Jefferson County, New York: Summary level: 050, state:36> county:045",44657,24413,20244
"Erie County, New York: Summary level: 050, state:36> county:029",390341,251132,139209
"Ulster County, New York: Summary level: 050, state:36> county:111",69154,46491,22663
"Westchester County, New York: Summary level: 050, state:36> county:119",352498,213450,139048
"Warren County, New York: Summary level: 050, state:36> county:113",28007,18836,9171
"Niagara County, New York: Summary level: 050, state:36> county:063",89765,62228,27537
"Putnam County, New York: Summary level: 050, state:36> county:079",35425,30027,5398
"Livingston County, New York: Summary level: 050, state:36> county:051",23746,17583,6163
"Suffolk County, New York: Summary level: 050, state:36> county:103",496784,394961,101823
"Cayuga County, New York: Summary level: 050, state:36> county:011",30083,21114,8969
"Kings County, New York: Summary level: 050, state:36> county:047",969317,296235,673082
"Onondaga County, New York: Summary level: 050, state:36> county:067",185046,120620,64426
"Albany County, New York: Summary level: 050, state:36> county:001",126578,71321,55257
"Madison County, New York: Summary level: 050, state:36> county:053",26127,20311,5816
"Queens County, New York: Summary level: 050, state:36> county:081",788110,356970,431140
"Wayne County, New York: Summary level: 050, state:36> county:117",35927,28995,6932
"Bronx County, New York: Summary level: 050, state:36> county:005",507370,93671,413699
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41680,29841,11839
"Richmond County, New York: Summary level: 050, state:36> county:085",167441,115872,51569
"Schenectady County, New York: Summary level: 050, state:36> county:093",55262,34674,20588
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32079,22926,9153
"Monroe County, New York: Summary level: 050, state:36> county:055",301668,195347,106321
"Sullivan County, New York: Summary level: 050, state:36> county:105",28900,18877,10023
"Broome County, New York: Summary level: 050, state:36> county:007",75539,48458,27081
"Dutchess County, New York: Summary level: 050, state:36> county:027",108071,73717,34354
"Steuben County, New York: Summary level: 050, state:36> county:101",40578,29724,10854
